local_level_id,district_id,type_id,type_code,name_en,name_ne
220,19,4,RURAL_MUNICIPALITY,SakhuwanankarKatti,सखुवानान्कारकट्टी
221,19,4,RURAL_MUNICIPALITY,Arnama,अर्नमा
222,19,4,RURAL_MUNICIPALITY,Navarajpur,नवराजपुर
223,20,2,SUB_METROPOLITAN_CITY,Janakpurdham,जनकपुरधाम
224,20,3,MUNICIPALITY,Chhireshwarnath,क्षिरेश्वरनाथ
225,20,3,MUNICIPALITY,Ganeshman Charnath,गणेशमान चारनाथ
226,20,3,MUNICIPALITY,Dhanushadham,धनुषाधाम
227,20,3,MUNICIPALITY,Nagarain,नगराइन
228,20,3,MUNICIPALITY,Bideha,विदेह
229,20,3,MUNICIPALITY,Mithila,मिथिला
230,20,3,MUNICIPALITY,Sahidnagar,शहीदनगर
231,20,3,MUNICIPALITY,Sabaila,सबैला
232,20,3,MUNICIPALITY,Kamala,कमला
233,20,3,MUNICIPALITY,MithilaBihari,मिथिला बिहारी
234,20,3,MUNICIPALITY,Hansapur,हंसपुर
235,20,4,RURAL_MUNICIPALITY,Janaknandani,जनकनन्दिनी
236,20,4,RURAL_MUNICIPALITY,Bateshwar,बटेश्वर
237,20,4,RURAL_MUNICIPALITY,Mukhiyapatti Musharniya,मुखियापट्टी मुसहरमिया
238,20,4,RURAL_MUNICIPALITY,Lakshminya,लक्ष्मीनिया
239,20,4,RURAL_MUNICIPALITY,Aaurahi,औरही
240,20,4,RURAL_MUNICIPALITY,Dhanauji,धनौजी
241,21,3,MUNICIPALITY,Bodebarsain,बोदेबरसाईन
242,21,3,MUNICIPALITY,Dakneshwori,डाक्नेश्वरी
243,21,3,MUNICIPALITY,Hanumannagar Kankalini,हनुमाननगर कङ्‌कालिनी
244,21,3,MUNICIPALITY,Kanchanrup,कञ्चनरुप
245,21,3,MUNICIPALITY,Khadak,खडक
246,21,3,MUNICIPALITY,Shambhunath,शम्भुनाथ
247,21,3,MUNICIPALITY,Saptakoshi,सप्तकोशी
248,21,3,MUNICIPALITY,Surunga,सुरुङ्‍गा
249,21,3,MUNICIPALITY,Rajbiraj,राजविराज
250,21,4,RURAL_MUNICIPALITY,Agnisaira Krishnasavaran,अग्निसाइर कृष्णासरवन
251,21,4,RURAL_MUNICIPALITY,Balan-Bihul,बलान-बिहुल
252,21,4,RURAL_MUNICIPALITY,Rajgadh,राजगढ
253,21,4,RURAL_MUNICIPALITY,Bishnupur,बिष्णुपुर
254,21,4,RURAL_MUNICIPALITY,Chhinnamasta,छिन्नमस्ता
255,21,4,RURAL_MUNICIPALITY,Mahadeva,महादेवा
256,21,4,RURAL_MUNICIPALITY,Rupani,रुपनी
257,21,4,RURAL_MUNICIPALITY,Tilathi Koiladi,तिलाठी कोईलाडी
258,21,4,RURAL_MUNICIPALITY,Tirhut,तिरहुत
259,22,3,MUNICIPALITY,Aaurahi,औरही
260,22,3,MUNICIPALITY,Balawa,बलवा
261,22,3,MUNICIPALITY,Bardibas,बर्दिबास
262,22,3,MUNICIPALITY,Bhangaha,भँगाहा
263,22,3,MUNICIPALITY,Gaushala,गौशाला
264,22,3,MUNICIPALITY,Jaleshor,जलेश्वर
265,22,3,MUNICIPALITY,Loharpatti,लोहरपट्टी
266,22,3,MUNICIPALITY,Manara Shiswa,मनरा शिसवा
267,22,3,MUNICIPALITY,Matihani,मटिहानी
268,22,3,MUNICIPALITY,Ramgopalpur,रामगोपालपुर
269,22,4,RURAL_MUNICIPALITY,Ekdara,एकडारा
270,22,4,RURAL_MUNICIPALITY,Mahottari,महोत्तरी
271,22,4,RURAL_MUNICIPALITY,Pipara,पिपरा
272,22,4,RURAL_MUNICIPALITY,Samsi,साम्सी
273,22,4,RURAL_MUNICIPALITY,Sonama,सोनमा
274,23,3,MUNICIPALITY,Bhaktapur,भक्तपुर
275,23,3,MUNICIPALITY,Changunarayan,चाँगुनारायण
276,23,3,MUNICIPALITY,Suryabinayak,सूर्यविनायक
277,23,3,MUNICIPALITY,Madhyapur Thimi,मध्यपुर थिमी
278,24,1,METROPOLITAN_CITY,Bharatpur,भरतपुर
279,24,3,MUNICIPALITY,Kalika,कालिका
280,24,3,MUNICIPALITY,Khairhani,खैरहनी
281,24,3,MUNICIPALITY,Madi,माडी
282,24,3,MUNICIPALITY,Ratnagar,रत्ननगर
283,24,3,MUNICIPALITY,Rapti,राप्ती
284,24,4,RURAL_MUNICIPALITY,Ichchhakamana,इच्छाकामना
285,25,3,MUNICIPALITY,Dhunibeshi,धुनीबेंशी
286,25,3,MUNICIPALITY,Nilkantha,निलकण्ठ
287,25,4,RURAL_MUNICIPALITY,Khaniyabas,खनियाबास
288,25,4,RURAL_MUNICIPALITY,Gajuri,गजुरी
289,25,4,RURAL_MUNICIPALITY,Galchhi,गल्छी
290,25,4,RURAL_MUNICIPALITY,Gangajamuna,गङ्गाजमुना
291,25,4,RURAL_MUNICIPALITY,Jwalamukhi,ज्वालामूखी
292,25,4,RURAL_MUNICIPALITY,Thakre,थाक्रे
293,25,4,RURAL_MUNICIPALITY,Netrawati Dabjong,नेत्रावती डबजोङ
294,25,4,RURAL_MUNICIPALITY,Benighat Rorang,बेनीघाट रोराङ्ग
295,25,4,RURAL_MUNICIPALITY,Rubi Valley,रुवी भ्याली
296,25,4,RURAL_MUNICIPALITY,Siddhalek,सिद्धलेक
297,25,4,RURAL_MUNICIPALITY,Tripurasundari,त्रिपुरासुन्दरी
298,26,3,MUNICIPALITY,Bhimeswor,भिमेश्वर
299,26,3,MUNICIPALITY,Jiri,जिरी
300,26,4,RURAL_MUNICIPALITY,Kalinchok,कालिन्चोक
301,26,4,RURAL_MUNICIPALITY,Melung,मेलुङ्ग
302,26,4,RURAL_MUNICIPALITY,Bigu,विगु
303,26,4,RURAL_MUNICIPALITY,Gaurishankar,गौरीशङ्कर
304,26,4,RURAL_MUNICIPALITY,Baiteshowr,वैतेश्वर
305,26,4,RURAL_MUNICIPALITY,Sailung,शैलुङ्ग
306,26,4,RURAL_MUNICIPALITY,Tamakoshi,तामाकोशी
307,27,1,METROPOLITAN_CITY,Kathmandu,काठमाण्डौं
308,27,3,MUNICIPALITY,Gokarneshwar,गोकर्णेश्वर
309,27,3,MUNICIPALITY,Kirtipur,कीर्तिपुर
310,27,3,MUNICIPALITY,Kageshwari-Manohara,कागेश्वरी मनोहरा
311,27,3,MUNICIPALITY,Chandragiri,चन्द्रागिरी
312,27,3,MUNICIPALITY,Tokha,टोखा
313,27,3,MUNICIPALITY,Tarakeshwar,तारकेश्वर
314,27,3,MUNICIPALITY,Dakshinkali,दक्षिणकाली
315,27,3,MUNICIPALITY,Nagarjun,नागार्जुन
316,27,3,MUNICIPALITY,Budhalikantha,बुढानिलकण्ठ
317,27,3,MUNICIPALITY,Shankharapur,शङ्खरापुर
318,28,3,MUNICIPALITY,Dhulikhel,धुलिखेल
319,28,3,MUNICIPALITY,Namobuddha,नमोबुद्ध
320,28,3,MUNICIPALITY,Panauti,पनौती
321,28,3,MUNICIPALITY,Panchkhal,पाँचखाल
322,28,3,MUNICIPALITY,Banepa,बनेपा
323,28,3,MUNICIPALITY,Mandandeupur,मण्डनदेउपुर
324,28,4,RURAL_MUNICIPALITY,Khani Khola,खानीखोला
325,28,4,RURAL_MUNICIPALITY,Chauri Deurali,चौंरीदेउराली
326,28,4,RURAL_MUNICIPALITY,Temal,तेमाल
327,28,4,RURAL_MUNICIPALITY,Bethanchok,बेथानचोक
328,28,4,RURAL_MUNICIPALITY,Bhumlu,भुम्लु
329,28,4,RURAL_MUNICIPALITY,Mahabharat,महाभारत
330,28,4,RURAL_MUNICIPALITY,Roshi,रोशी
331,29,1,METROPOLITAN_CITY,Lalitpur,ललितपुर
332,29,3,MUNICIPALITY,Mahalaxmi,महालक्ष्मी
333,29,3,MUNICIPALITY,Godawari,गोदावरी
334,29,4,RURAL_MUNICIPALITY,Konjyosom,कोन्ज्योसोम
335,29,4,RURAL_MUNICIPALITY,Bagmati,बागमती
336,29,4,RURAL_MUNICIPALITY,Mahankal,महाङ्काल
